id,text,user_location,coordinates
1,Watson and Teller 'too demanding for La La Land' https://t.co/knuFbLhpiJ,Philly to ATL,
2,RT @momentofruth: Here's some beautiful Black boy joy for your morning. Caleb McLaughlin of Stranger Things and Miles Brown of Black-… ,gual mekelle,
3,"@Willie_Ed24 not yet I'm still plotting,I been watching how to get away with Murder 😂😂😂😂","Starkville, MS",
4,RT @WinnieDancing: Stranger Things Theme Song https://t.co/XS1wdrD0wt,"Angelles,Illéa",
5,RT @StrangerThinss: the cast of stranger things as spongebob pictures https://t.co/m43tkxOCO3,"Houston, TX",
6,Hidden figures SHOULD INSPIRE BLACK WOMEN TO GET BACK INTO SCIENCE!  YALL THE REASON SPACE TRAVEL EXISTS! GOD UP SISTERS!,"Brooklyn, NY",
7,RT @helenasbby: cause of death: Sarah Paulson dancing with the stranger things cast https://t.co/uZjf9D2frX,"Lugo, España",
8,Check out La La Land's award nominations and competitors for the 2017 Oscars  https://t.co/eJrLMV4DLV https://t.co/iXsNcMve7P #giveaway,,
9,"@annabellaaaa83 if you're still looking for something to watch after Quarry, watch Sneaky Pete on Amazon prime. Im on 3rd episode &amp; lovin it","Carlisle, England",
10,"get ready for any musical film within the next 2-3 years to be talked about as ""the next LA LA LAND""","West Hollywood, CA",
11,RT @WinnieDancing: Pretty Little Liars Theme Song https://t.co/mvaAZghOsn,justin follows and ariana favd,
12,I can't wait for Stranger Things to come back 'bout to buy me some merch.,,
13,"episode 5, abc, the bachelor, bachelor, season 21, corinne, see you never GIF https://t.co/72z1i0kQqV https://t.co/kni5rlvyCR",,
14,"Gif ~ episode 5, abc, the bachelor, bachelor, season 21, corinne, see you never https://t.co/qUk0i4183S",France,
15,RT @lifeasjennalyn: Referenced The Bachelor to show the effects of ineffective communication. ITS 2017 YALL 😂😂,"Cheney, WA",
16,Announce Stranger Things Season 3........,Kettering,
17,RT @ultimateholland: Seb and Mia are still together and happy if you skip the ending of la la land https://t.co/dR5D3YhJpf,city of delusion (eng/tr/fr),
18,"episode 5, abc, the bachelor, bachelor, season 21, corinne, see you never via Giphy https://t.co/1hScuvb1uN https://t.co/Ujji6sSa1a",,
19,This isn't the final rose ceremony from The Bachelor.@realDonaldTrump Why are you acting this way? https://t.co/PyqIQdQgvd,,
20,RT @ajplus: A “Stranger Things” actor blasts Trump without even mentioning his name. https://t.co/jtI7uHfzqR,"Toronto, Ontario ",
21,"RT @nolan_mcbride: Imagine ""actor protests Trump immigration ban"" being why you quit watching Big Bang Theory https://t.co/vKLHLgCK1P",Mantreal,
22,"RT @nolan_mcbride: Imagine ""actor protests Trump immigration ban"" being why you quit watching Big Bang Theory https://t.co/vKLHLgCK1P",Mantreal,
23,RT @momentofruth: Here's some beautiful Black boy joy for your morning. Caleb McLaughlin of Stranger Things and Miles Brown of Black-… ,"Pittsburgh, PA",
24,"Uh-oh! LA LA Land respond to Emma Watson ""You didn't get the role because of your attitude"" https://t.co/ncKoXWyH9b",Cesspool Bot of teh Vestibule,
25,"RT @Daily_NCIS: NCIS is a BIG family, and we're all part of it! ❤️ https://t.co/0sliWng0jv","Tábor, Česká republika",
26,"RT @christianhebel: I'm so happy #Lucifer is trending #4. It's above CelebApprentice, Trump and The Bachelor! Go @LuciferonFOX and my wife…",,
27,"You have to be kidding me.  This is not The Bachelor, people, this is #SCOTUS. https://t.co/D0j1Jkqory",,
28,😍 Stranger Things. https://t.co/DJBgcigrZY,,
29,RT @DancingWinnie: Stranger Things Theme Song https://t.co/5jPAAk47OG,"Durham, NC",
30,Check out La La Land's award nominations and competitors for the 2017 Oscars  https://t.co/P2zDHZjFHE https://t.co/pmYPhytfax #giveaway,,
31,"#FOLLOW #RT episode 5, abc, the bachelor, bachelor, season 21, corinne, see you never https://t.co/uQIV0tdUHK",USA,
32,"#NowPlaying Someone In The Crowd - From ""La La Land"" Soundtrack by Emma Stone ♫ https://t.co/i1xlgbm6Ea",dccomics,
33,RT @kmdak14: Watch @dayzerotv on @amazon at https://t.co/rmIjvXTU3y - More unique than The Walking Dead! https://t.co/kFjnoiG0Sx #giveaway,Worldwide,
